name,effectiveRangeBase,effectiveRangePerDice,ineffectiveRangeBaseOption,ineffectiveRangePerDiceOption,maxRangeBaseOption,maxRangePerDiceOption
Self,0,0,None,None,None,None
Melee,5,0,None,None,None,None
Reach,10,0,None,None,None,None
Near,0,1.67,0,3.34,0,5.01
Close,0,2.5,0,5,0,7.5
Short,0,3.34,0,6.68,0,10.02
Mediocre,0,5,0,10,0,15
Medium,0,7.5,0,15,0,22.5
Extended,0,10,0,20,0,30
Far,0,15,0,30,0,45
Long,0,20,0,40,0,60
Distant,0,25,0,50,0,75
Sharpshooter,0,30,0,60,0,90
Extreme,0,35,0,70,0,105
Sniper,0,50,0,100,0,150