name,desc,duration,source
Level,1,Indefinite,Player Character
,,,
Combat Modifier: Grapple Disarm,"Once already in a Grapple, as part of their declaration phase a character can declare they are attempting a Grapple Disarm to disarm their opponent. The character attempting the Grapple Disarm must be Unarmed. They gain Advantage their Unarmed combat roll versus the armed grappled opponent. The armed opponent gains Disadvantage on their combat roll versus the character grappling them. The character attempting the Grapple Disarm may only take the Disarm Level 2 Victory (this means they cannot delegate their attack to inflict an injury or execute a trip regardless of how high the victory achieved.)",Instant,2 Victory Level wins
,,,
Space Vacuum Life Support,Enable the user to survive in the vacuum of space until onboard oxygen depletes.,1 hour,Innate
,,,
Spellcasting Focus,Acts as a Spellcasting Focus for spells.,Indefinite,Innate
Magic Resource Leech,Sneak attack regain 1 Magic Resource of the user's choice.,Indefinite,Innate
Life Leech,Sneak attacks trigger an Minor Heal to self.,Indefinite,Innate
Minorly Enhanced Magic Resource,+2 to magic Resource capacity.,Indefinite,Innate
Enhanced Magic Resource,+4 to magic Resource capacity.,Indefinite,Innate
Greatly Enhanced Magic Resource,+6 to magic Resource capacity.,Indefinite,Innate
Ariel Assassin,"While performing an aerial attack, gain a +1 to your victory level.",Indefinite,Innate
Minorly Enhanced Vitality,Reduce up to 1d6 of total injury penalty dice.,Indefinite,Innate
Enhanced Vitality,Reduce up to 2d6 of total injury penalty dice.,Indefinite,Innate
Greatly Enhanced Vitality,Reduce up to 3d6 of total injury penalty dice.,Indefinite,Innate
Enhanced Critical,+1 automatic win to sneak attacks and Physically Incapacitated opponents.,Indefinite,Innate
Dragon Threat Sense,The character gets an uneasy feeling when there are draconic creatures near.,Indefinite,Innate
Dragon Breath Resistance,"Minor Resistance vs dragon elemental attacks (Dragonfire, Dragontide, Soulfire, ect)",Indefinite,Innate
Enhanced Healing,Any healing acts as the tier above.,Indefinite,Innate
Blessing of the Moon,"INT is set to level 2. Gain the following disabling: ""I hear the sword whispering its secrets to me, and I must know them""",Indefinite,Innate
Innate Mind Reading,"Magically access the surface thoughts of a creature within 60 ft as long as concentration isn't broken. The spell can penetrate barriers, but 2 feet of rock, 2 inches of any metal other than lead, or a thin sheet of lead obstruct the ability. While reading the mind of a create, gains advantage to Communication checks versus the creature.",Indefinite,Innate
Spore Follower,"Without the presence of a spore evolved, this creature will behave as a brain dead monster. But under direction will follow orders and use weapons.",Indefinite,Innate
Spore Carrier,"Carries the spore fungal infection. Creatures injured are infected with the spore disease. Upon death, the fungal growth hardens into a brittle stone like substance.",Indefinite,Innate
Incorporeal Form,Can move through physical objects and creatures as if they were difficult terrain.,Indefinite,Innate
,,,
Ending,Creatures killed with this weapon are instantly decapitated.,Indefinite,Innate
Splinter,"Any weapon dice added to a combat roll are considered automatic wins when attacking a plant based creature (Leshens, Nature Dragons) or wooden structures.",Indefinite,Innate
Extendable Weapon,"This weapon can shrink to the size of a small weapon, extend up to reach weapon, as well as any size between. The force of the weapon extending can be used in a variety of way.",Indefinite,Innate
Fire Repair and Enhancement,"Weapons repairs in intense fires. If fully repaired and is exposed to increasingly intense flames, it will become a higher tier item. Each time it is upgraded, a more intense fire is required upgrade it.",Indefinite,Innate
Apparel Storage,"This small mirror can save an outfit the user is wearing. If no outfit is stored inside the user will appear naked in the reflection while holding it. Pressing the mirror while looking into it will swap your apparel between your reflection and what you are currently wearing. This happens in a flash of light, similar to the glare off a mirror. This allows the users to store an outfit inside of the necklace.",Indefinite,Innate
Retractable Shield,The user can deploy or retract the medium shield at will.,Indefinite,Innate
Light Bound,"This weapon is physical light, and can be absorbed and summoned by a those with the Radiance magic skill.",Indefinite,Innate
Metal Feeding,"To repair, item can feed on metal. Different amounts result in different levels of repair and time needed to complete these repairs.",Indefinite,Innate
Command Asclepius,"By holding and speaking the command word ""Asclepius"" the user may instruct this Runecraft to perform various simple actions. ""Asclepius, turn into a whip, or short spear."" or Asclepius, attack those soldiers.""",Indefinite,Innate
Swordbreaker Blade Catch,"Any weapon that could reasonably be caught in the swordbreaker can be caught with a Lvl 1 victory, entering into Close Quarters combat. The opponent's weapon is usable while bound. Your main hand weapon (Small, Medium, or Large) can be used in this Close Quarters combat scenario.",Indefinite,Innate
Indestructible,This item can't lose durability.,Indefinite,Innate
Moonlight Greatsword,"Just by thought, this ancient sword wreathed in moonlight, becoming a greatsword wreathed in moonlight. While active, it becomes a greatsword and now additionally deals radiant damage.",Indefinite,Innate
Binding of the Moon,"This weapon can only be picked up by those who sing (out loud or in their head) the Lullaby of the Moon. If the weapon is held for a fortnight, the weapon is bound to the users, severing the bond with the previous bearer. The bearer can now dismiss and summon the blade at will.",Indefinite,Innate
Phenomena Detection,Beats and lights up when turned towards supernatural phenomena in an area. Beats faster the closer it is.,Indefinite,Innate
Forbidden Whispers,"When one squeezes the Heart, it whispers secrets directly into their mind concerning the current area, as it senses information about the world beyond mortal recognition. When the Heart is pointed at a person, it reveals secrets about them. Roll a destiny roll (a d20) to determine the level of information obtained.",Indefinite,Innate
Light Storage,Holds 1 Magic Resource worth of light. Can be recharged in Sunlight. Light slowly dissipates from this gem.,Indefinite,Innate
Retractable Shield,The user can deploy or retract the medium shield at will.,Indefinite,Innate
Defense Spells,"The staff is endowed with 10 charges, serving as the fuel for the enclosed spells. When holding the staff, you can use your action to cast one of the following spells from it, provided you have a vocation that can unlock the magic required for these spells: Physical Protection (1 charge) or Mage Shield (2 charges). No components are necessary. At the break of dawn, the staff regains 1d6 + 4 expended charges. Should the staff exhaust its charges entirely, roll a d20. If the result is 1, the staff shatters and meets its destruction.",Indefinite,Innate
Single-use Invisibility,Applies the Invisibility Spell to the user of this item after being used. Item is destroyed in the process.,1 hour,Innate
Draupnir,"This ring can transform between a weapon and ring. The ring is endowed with 10 charges. With the ring equipped, the user can force a duplication resulting in either a ring or weapon, both which appear in the users hand. Duplicates can not transform, only the original. At the break of dawn, the ring regains 1d6 + 4 expended charges.",Indefinite,Innate
Cold Enchantment,Weapon additionally deals Cold damage.,Indefinite,Innate
The Anatoli Curse,"The weapon is cursed on an individual, always return to the user no matter how the weapon is disposed. When this item is used in combat, the bearer becomes blood lusted with each subsequent kill, becoming increasingly bestially minded, possibly even attack friends.",Indefinite,Innate
,,,
Sense: Keen Hearing,Advantage on hearing based Perception checks.,Indefinite,Innate
Sense: Keen Smell,Advantage on smell based Perception checks.,Indefinite,Innate
Sense: Keen Sight,Advantage on sight based Perception checks.,Indefinite,Innate
,,,
Sense: Darkvision,"A special ability that many creatures in fantasy realms, particularly those that live underground, possess. This ability allows a creature to see in dim light as if it were bright light, and see in darkness as if it were dim light up to a certain distance. However, the trade-off is that they can't distinguish colors in the dark, only different shades of gray. Within 60 feet, sees dim light as if it were bright light and darkness as if it were dim light, though devoid of color.",Indefinite,Innate
Sense: Enhanced Darkvision,"A special ability that many creatures in fantasy realms, particularly those that live underground, possess. This ability allows a creature to see in dim light as if it were bright light, and see in darkness as if it were dim light up to a certain distance. However, the trade-off is that they can't distinguish colors in the dark, only different shades of gray. Within 120 feet, sees dim light as if it were bright light and darkness as if it were dim light, though devoid of color.",Indefinite,Innate
Sense: Blindsight,"Blindsight allows a creature to perceive its environment without the need for sight, within a certain range. It's typically found in creatures that lack eyes, such as oozes, or in those that have heightened senses or use echolocation, like bats and true dragons. These creatures can sense their surroundings regardless of visual obstructions or conditions. Within 30 ft, the environment can be perceived without the need for sight.",Indefinite,Innate
Sense: Truesight,"A being possessing truesight can, within a designated range, perceive both in regular and magical darkness, observe invisible entities and objects, effortlessly discern visual illusions, succeed on skill checks against them, and discern the true form of a shapechanger or a creature altered by magic. Additionally, this creature has the ability to see into the Ethereal Plane.",Indefinite,Innate
,,,
Vision Obscurement: Unobscured,The area around the character doesn't impede their vision. Roll normal Perception checks that rely on sight.,,
Vision Obscurement: Lightly Obscured,"The area around the character slighly impedes their vision. Roll at Disadvantage on Perception checks that rely on sight. Examples include dim light, patchy fog/foliage, ect...",,
Vision Obscurement: Heavily Obscured,"The area around the character heavily impedes their vision. Roll at Super Disadvantage on Perception checks that relay on sight. Examples include deep shadow, moderate fog/foliage, ect...",,
Vision Obscurement: Completely Obscured,"The area around the character completely impedes their vision. Character is considered Blinded (see the Condition). Examples include complete darkness, opaque fog/foliage, ect...",,
,,,
Light: Glow,Provides 20 ft radius bright light and 40 ft radius dim light.,Indefinite,Innate
,,,
Destiny Resistance,"""Post Roll Destiny Points"" cannot be spent against this character.",Indefinite,Given by The Narrator
Destiny Immunity,Destiny Points cannot be spent against this character.,Indefinite,Given by The Narrator
,,,